sentiment,headline,translated_text
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","По словам Граня, компания не планирует переносить все производство в Россию, хотя именно там компания растет."
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","«Технополис» планирует поэтапно застроить территорию площадью не менее 100 тысяч квадратных метров для размещения компаний, работающих в сфере компьютерных технологий и телекоммуникаций, говорится в сообщении."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","Международная компания электронной промышленности Elcoteq уволила десятки сотрудников на своем предприятии в Таллинне; В отличие от предыдущих увольнений, компания сократила ряды своих офисных работников, сообщает газета Postimees."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"Благодаря новому производственному предприятию компания увеличит свои мощности, чтобы удовлетворить ожидаемый рост спроса, а также улучшит использование сырья и, следовательно, повысит рентабельность производства."
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","Согласно обновленной стратегии компании на 2009-2012 годы, Basware нацелена на долгосрочный рост чистого объема продаж в диапазоне 20%-40% при рентабельности операционной прибыли в размере 10%-20% от чистого объема продаж."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"ФИНАНСИРОВАНИЕ РОСТА ASPOCOMP Aspocomp активно реализует свою стратегию роста, уделяя все больше внимания технологически более требовательным печатным платам HDI."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","За последний квартал 2010 года чистый объем продаж Componenta удвоился до 131 млн евро с 76 млн евро за тот же период годом ранее, в то время как прибыль до налогообложения перешла к нулевой прибыли из-за убытка до налогообложения в 7 млн ​​евро."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","В третьем квартале 2010 года чистый объем продаж увеличился на 5,2% до 205,5 млн евро, а операционная прибыль - на 34,9% до 23,5 млн евро."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"Операционная прибыль выросла до 13,1 млн евро с 8,7 млн ​​евро в соответствующем периоде 2007 года, что составляет 7,7% от чистого объема продаж."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Операционная прибыль составила 21,1 млн евро по сравнению с 18,6 млн евро в 2007 году, что составляет 9,7% от чистого объема продаж."
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,"TeliaSonera TLSN заявила, что это предложение соответствует ее стратегии по увеличению доли участия в основных бизнес-холдингах и усилит предложение Eesti Telekom для своих клиентов."
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston (CFSB) повысили справедливую стоимость акций четырех крупнейших лесозаготовительных групп Скандинавии."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",Договор о покупке 7200 тонн бензина с поставкой на терминал Хамина в Финляндии заключен с Neste Oil OYj по среднему индексу Platts за сентябрь текущего года плюс восемь долларов США в месяц.
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","Финская Talentum сообщает, что ее операционная прибыль увеличилась до 20,5 млн евро в 2005 году с 9,3 млн евро в 2004 году, а чистый объем продаж составил 103,3 млн евро по сравнению с 96,4 млн евро."
positive,"Clothing retail chain Sepp+�l+� 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","Продажи сети магазинов одежды Sepp+�l+� выросли на 8% до 155,2 млн евро, а операционная прибыль выросла до 31,1 млн евро с 17,1 млн евро в 2004 году."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Консолидированный чистый объем продаж увеличился на 16% и достиг 74,8 млн евро, а операционная прибыль составила 0,9 млн евро по сравнению с убытком в 0,7 млн ​​евро в предыдущем году."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","Подразделение литейного производства сообщает, что его продажи выросли на 9,7% до 63,1 млн евро с 57,5 ​​млн евро в соответствующем периоде 2006 года, а продажи подразделения механических цехов увеличились на 16,4% до 41,2 млн евро с 35,4 млн евро за соответствующий период 2006 года."
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","ХЕЛЬСИНКИ (AFX) – Акции Nokia закрылись ростом, во главе с Nokia после того, как она объявила о планах объединиться с Sanyo для производства 3G-телефонов, и Nokian Tyres после того, как ее отчет о прибыли за четвертый квартал превзошел ожидания аналитиков, сообщили дилеры."
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd, дочерняя компания Incap Corporation в Финляндии, планирует удвоить свои доходы к 2007-2008 гг."
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Ее совет директоров предложит дивиденды в размере 0,12 евро на акцию за 2010 год по сравнению с 0,08 евро на акцию, выплаченными в 2009 году."
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","Lifetree была основана в 2000 году, и ее доходы выросли в среднем на 40%, а рентабельность достигла конца 30-х годов."
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Филиппова) Трехстороннее соглашение об инвестициях в строительство технопарка в Санкт-Петербурге должно было быть подписано в ходе форума ""Дни российской экономики"", открывшегося сегодня в Хельсинки."
