headline,sentiment,translated_text
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"Технология GeoSolutions будет использовать GPS-решения Benefon, предоставляя технологию поиска на основе местоположения, платформу сообществ, мультимедийный контент, соответствующий местонахождению, а также новую и мощную коммерческую модель."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI находится на минимуме, падение с $1,50 до $2,50 BK вполне возможно."
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"За последний квартал 2010 года чистый объем продаж Componenta удвоился до 131 млн евро с 76 млн евро за тот же период годом ранее, в то время как прибыль до налогообложения перешла к нулевой прибыли из-за убытка до налогообложения в 7 млн ​​евро."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"По данным Финско-Российской торговой палаты, все крупнейшие строительные компании Финляндии работают в России."
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"Шведская фирма по выкупу продала оставшиеся 22,4 процента акций почти через восемнадцать месяцев после того, как компания стала публичной в Финляндии."
$SPY wouldn't be surprised to see a green close,positive,"$SPY не удивился бы, увидев зеленое закрытие"
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Сделка Shell BG на 70 миллиардов долларов встретила скептицизм акционеров
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"СООБЩЕНИЕ О ФОНДОВОЙ БИРЖЕ SSH COMMUNICATIONS SECURITY CORP 14 ОКТЯБРЯ 2008 ГОДА, 14:45 Компания обновляет прогноз на весь год и оценивает, что ее результаты останутся убыточными в течение всего года."
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,За первые девять месяцев 2008 года чистый объем продаж Kone вырос примерно на 14% в годовом исчислении.
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,"Общая площадь универмага Stockmann составит более 8000 квадратных метров, а инвестиции Stockmann в проект составят около 12 миллионов евро."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,В 2008 году доход от тиража увеличился на 5% в Финляндии и на 4% в Швеции.
