headline,sentiment,translated_text
Investors rejoice at the record growth of bitcoin,positive,Инвесторы радуются рекордному росту биткоина
Experts warn about the risks of investing in cryptocurrency,negative,Эксперты предупреждают о рисках инвестирования в криптовалюту
"Bitcoin is updating its maximum, attracting new investors",positive,"Биткойн обновляет свой максимум, привлекая новых инвесторов"
Bitcoin transactions are subject to cyber attacks,negative,Биткойн-транзакции подвергаются кибератакам
Developers have introduced new technologies to improve bitcoin,positive,Разработчики представили новые технологии для улучшения биткоина
"Cryptocurrency prices are falling, causing concern investors",negative,"Цены на криптовалюты падают, вызывая беспокойство инвесторов"
Bitcoin continues to strengthen its position in the market,positive,Биткойн продолжает укреплять свои позиции на рынке
Investments in bitcoin bring stable profits,positive,Инвестиции в биткоин приносят стабильную прибыль
Regulators of countries are discussing issues of regulating cryptocurrencies,neutral,Регуляторы стран обсуждают вопросы регулирования криптовалют
Bitcoin is losing popularity among young people,negative,Биткойн теряет популярность среди молодежи
New blockchain technologies are designed to improve the security of bitcoin,positive,Новые технологии блокчейна призваны повысить безопасность биткойнов
Experts do not exclude the possibility of a sudden collapse of the cryptocurrency market,negative,Эксперты не исключают возможности внезапного обвала рынка криптовалют
Interest in cryptocurrencies is growing among large financial institutions,positive,Интерес к криптовалютам растет среди крупных финансовых институтов
Bitcoin has become part of a long-term strategy investments,positive,Биткойн стал частью долгосрочной стратегии инвестиций
Governments are developing laws on cryptocurrencies to ensure security,neutral,Правительства разрабатывают законы о криптовалютах для обеспечения безопасности
Investors are losing confidence in the cryptocurrency markets,negative,Инвесторы теряют доверие к рынкам криптовалют
Bitcoin has become a key element of the digital economy,positive,Биткойн стал ключевым элементом цифровой экономики
Financial experts express concerns about the stability of bitcoin,negative,Финансовые эксперты выражают обеспокоенность по поводу стабильности биткойна
Cryptocurrencies attract attention as a new type of asset,positive,Криптовалюты привлекают внимание как новый тип активов
Bitcoin has become the subject of discussion at world economic forums,neutral,Биткойн стал предметом обсуждения на мировых экономических форумах
A sharp decline in the price of bitcoin causes investors are worried,negative,Резкое снижение цены биткойна вызывает беспокойство инвесторов
Innovations in the field of cryptocurrency attract the attention of technology companies,positive,Инновации в сфере криптовалют привлекают внимание технологических компаний
Bitcoin has become part of the investment portfolio of large companies,positive,Биткойн стал частью инвестиционного портфеля крупных компаний
The scalability of the bitcoin network is expected to improve,positive,"Ожидается, что масштабируемость сети Биткойн улучшится."
The fall in the bitcoin exchange rate leads to losses for many traders,negative,Падение курса биткоина приводит к потерям многих трейдеров
Interest in cryptocurrencies remains stable at the global level,positive,Интерес к криптовалютам остается стабильным на глобальном уровне
Bitcoin has become the object of speculation in global financial markets,negative,Биткойн стал объектом спекуляций на мировых финансовых рынках
Cryptocurrency payment systems the systems are slowly but surely being implemented into everyday life,neutral,"Криптовалютные платежные системы медленно, но верно внедряются в повседневную жизнь."
Experts predict an increase in interest in cryptocurrencies in the coming years,positive,Эксперты прогнозируют рост интереса к криптовалютам в ближайшие годы
Demand for bitcoin is growing in countries with high inflation,positive,Спрос на биткоин растет в странах с высокой инфляцией
Cryptocurrencies have become part of the financial strategy of many investors,positive,Криптовалюты стали частью финансовой стратегии многих инвесторов.
The security of cryptocurrency exchanges is under threat,negative,Безопасность криптовалютных бирж под угрозой
Bitcoin has become the object of attention of financial regulators,neutral,Биткойн стал объектом внимания финансовых регуляторов
Users face problems when withdrawing funds from bitcoin wallets,negative,Пользователи сталкиваются с проблемами при выводе средств с биткойн-кошельков
Bitcoin is recognized legal means of payment in some countries,positive,Биткойн признан законным средством платежа в некоторых странах.
The volume of cryptocurrency trading continues to increase,positive,Объем торговли криптовалютой продолжает расти
Cryptocurrencies cause discussions about the role of the state in the financial system,neutral,Криптовалюты вызывают дискуссии о роли государства в финансовой системе
Bitcoin has become part of the financial news of the daily media,positive,Биткойн стал частью финансовых новостей ежедневных СМИ
Investors are looking for alternative assets in cryptocurrencies,positive,Инвесторы ищут альтернативные активы в криптовалютах
Bitcoin has become the object of fraud and cyber attacks,negative,Биткойн стал объектом мошенничества и кибератак
